游记ID,标题,链接,规则1,规则2
1126454,醉美于成都，一切措手不及——2013.1,http://www.mafengwo.cn/i/1126454.html,24日(着纱布旅行。 具体行程如下2013年1月24日 北京——成都1月25日 北京——成都（)|25日(下2013年1月24日 北京——成都1月25日 北京——成都（火车）1月26日 都江堰)|26日(成都1月25日 北京——成都（火车）1月26日 都江堰、青城山1月27日 成都如家酒店)|27日(都（火车）1月26日 都江堰、青城山1月27日 成都如家酒店昏睡、宽窄巷子、春熙路1月)|28日( 成都如家酒店昏睡、宽窄巷子、春熙路1月28日 武侯祠、锦里——香格里拉1月29日 香)|29日(1月28日 武侯祠、锦里——香格里拉1月29日 香格里拉——飞来寺1月30日 飞来寺—)|30日(格里拉1月29日 香格里拉——飞来寺1月30日 飞来寺——香格里拉1月31日 香格里拉)|31日(飞来寺1月30日 飞来寺——香格里拉1月31日 香格里拉——虎跳峡徒步Day12月1日)|1日(1日 香格里拉——虎跳峡徒步Day12月1日  虎跳峡徒步Day2——丽江2月2日 )|2日(月1日  虎跳峡徒步Day2——丽江2月2日  丽江2月3日  丽江——双廊2月4日)|3日(徒步Day2——丽江2月2日  丽江2月3日  丽江——双廊2月4日  双廊、大理2)|4日(2日  丽江2月3日  丽江——双廊2月4日  双廊、大理2月5日  昆明——北京 )|5日( 丽江——双廊2月4日  双廊、大理2月5日  昆明——北京 p.s.本篇游记为成都)|24日(.cn/i/1127916.html1月24日晚，与同行的师兄师姐在人大东门大石头集合)|26日(同行5人，到也相当欢乐。费用:0元 1月26日，早晨四点多抵达成都，一下火车就喜欢上了)|一日(上，司机和一个导游向我们推荐都江堰青城山一日游，包车门票优惠外加套票什么的，被我们回)|26日(亮，于是我们一行五人光荣的成为都江堰1月26日的第一批游客。我对于都江堰向往已久，曾经)|一天(甘心，于是在把成都飞香格里拉机票改签往后一天。哎。。。。。。。。。。苦不堪言。。。 )|27日(费、材料费若干500+共计290元 1月27日，由于脑袋被撞的各种疼痛、浑沌、委屈、不)|一天(各种疼痛、浑沌、委屈、不爽，在酒店昏睡了一天，中午吃了打包的人民公园旁边的廖老妈蹄花)|28日(0小吃人均50地铁4元共计100元 1月28日在酒店睡到自然醒，差不多过了正午，在如家),day12(格里拉1月31日 香格里拉——虎跳峡徒步Day12月1日  虎跳峡徒步Day2——丽江2月)|day2(虎跳峡徒步Day12月1日  虎跳峡徒步Day2——丽江2月2日  丽江2月3日  丽江)|第一天(都——都江堰的动车（票价15元）开始成都第一天的旅程——都江堰、青城山，半个小时候后，)|第二天(不合，于是。。。。。。。。。。本来打算订第二天的机票回北京，但又觉得不甘心，于是在把成)
1029047,徒步九峰山,http://www.mafengwo.cn/i/1029047.html,无,第二天(了 帐篷搭在床上的，连铺防潮垫都省了  第二天早上太冷了   金顶的顶端   其实金顶)
831423,游走在成都街巷，那些流连忘返的美食（附地址，更新中……）,http://www.mafengwo.cn/i/831423.html,无,无
1330389,【北京自驾】纵横八省历时18天开启—梦幻云南之旅 《No.2 都江堰篇》,http://www.mafengwo.cn/i/1330389.html,19日( 行程预览：D16.18-19日 北京—西安 D3 6.20西安—都江堰),无
1330286,一个来了就不想走的城市 【成都】——峨眉山，六日自助游,http://www.mafengwo.cn/i/1330286.html,"6天(时候，还念念不忘想在来吃一次。（为了保证6天在成都都要吃不重样的，机会留给下次吧——)|2天(巷子，先前在网上定好的旅社98元/1晚（2天） 卫生不错的。就是被子冷，好在店家配备)|一天(，来中国就要来峨眉,搞的票价太贵，两个人一天花费近1000，其中门票，缆车是大头。景)|3天(买的雨衣的钱白花了。。 想玩完全山，2，3天， 发个信息给家乡的朋友们，，“哈哈，你)",第二天(子合个影吧。 山有也有不少酒店，都是为了第二天提前看日出的定的，价格也贵，但我觉得这样)|第二天(的定的，价格也贵，但我觉得这样玩不方便，第二天看完日出。还要拖到箱子下山玩，我觉得还是)
936859,成都、青城山三日超详尽自助游记--玩转四川攻略大全（3）更新完毕,http://www.mafengwo.cn/i/936859.html,一天(     06.30--07.01重庆玩一天半      07.02重庆至九寨沟的大)|二日(   07.03--07.04九寨沟深度二日游       07.05九寨沟去成都的)|一日(6成都市内游      07.07青城山一日游      07.08又是成都市内游 )|一日(份证免费不免票。     成都市内游可以一日游也可以两日游。一日游的话，看看重要的景)|一日(   成都市内游可以一日游也可以两日游。一日游的话，看看重要的景点就好了，我建议的路)|二日(己的兴趣和日景夜景的安排而定。     二日游的话，完全有时间把上述所有景点都逛一遍)|一天(就不在这里再放了。=||=     最后一天早上，我们还专门跑去春熙路的龙抄手总店吃)|一日(属于都江堰市，所以网上就很多都江堰青城山一日游的攻略了。但是这个一日游是针对青城前山)|一日(很多都江堰青城山一日游的攻略了。但是这个一日游是针对青城前山而言的，如果你想去后山，)|一日(游是针对青城前山而言的，如果你想去后山，一日游在时间上基本是不可能的。我之前也是想安)|一日(本是不可能的。我之前也是想安排青城都江堰一日游，但是一来对前山没什么兴趣，二来看了都)|7天(的景点=||=回复生肖牛年：有直达车的。7天差不多了=||=回复小荼素子：也不是，我),第二天(甫草堂，因为这三个紧挨着，晚上去宽窄巷。第二天，就早上金沙遗址，下午文殊院、武侯祠、锦)|第二天(完待续啦。      =||=     第二天早上9点，从川大出发去文殊院，貌似是坐5)|第一天(反正这里美女多，哈哈。      实际上第一天下午我们待到5点半就走人了，因为跟朋友的)|第二天(的你自己在马蜂窝找找吧=||=     第二天一早（其实是第三天，我把青城山攻略放最后)|第三天(找吧=||=     第二天一早（其实是第三天，我把青城山攻略放最后了），我们9点钟就)
956262,【成都】总有一些人的生活 与主流无关,http://www.mafengwo.cn/i/956262.html,一天(吃火锅——唱K 白天很闲晚上很high的一天        报个价这边挖耳朵20块一)|300a(：还会GF1啊 饼干镜头啊=||=回复p300a的引文：成都绝对是吃货的天堂啊~~~有木),day1(们这群放暑假的没谱儿青年撒欢儿的疯玩着 DAY1 机场——公寓——锦里S记的城市纪念杯和)|day2( 九眼桥泡在各色的小酒吧里感受成都的夜 DAY2 大熊猫繁育研究地看大猫熊——宽窄巷子胡)|day3(窄巷子32号店很好找性价比❤❤❤❤   DAY3人民公园喝茶打牌掏耳朵——刘一手吃火锅—)|day4(上成都下了大雨于是躲起来K歌到深夜   DAY4雨天去3coffee喝一杯温暖的“寂寞”)|day5(剪去长发举手投足十分起范儿！      DAY5玉林串串香总店吃串串——小通巷朵朵家咖啡)|day6(信片8元一张五张起做          DAY6退房——蜀九香吃九宫格火锅——摆驾回府 )
670712,"到安逸的地方,做敦厚的吃货—散吃篇",http://www.mafengwo.cn/i/670712.html,8天(赴成都，在这个安逸的地方，扎扎实实的做了8天敦厚的吃货。8天里摸爬滚打在懒骨头的10)|8天(逸的地方，扎扎实实的做了8天敦厚的吃货。8天里摸爬滚打在懒骨头的109窝，早出晚归的)|8天(酒吧里还可以打高雅的台球 俺摸爬滚打住了8天的109窝 圈点出每天吃的重点 第一吃，)|一天(成都人民幸福，守着这么多好吃的=||=才一天没上来，咋整到台面上去啦+=||=回复l),无
1322556,四川中北部遊,http://www.mafengwo.cn/i/1322556.html,8日(D6松潘——映秀——日隆D7 四姑娘山D8日隆——成都D9都江堰、青城山D10成都D)|一天(y 4九寨沟因为不可以二次进沟，所以只有一天时间。要早起床，7.00am景点开放，最)|00a(次进沟，所以只有一天时间。要早起床，7.00am景点开放，最好那时候就要到景点处买票，)|一天(隆（四姑娘山）大约7～8小时需说明的是前一天要联系好包车，当地的包车生意到处都是，但)|3天(个心愿是在过不去。这就看你个人决定吧。花3天在这些小景点上我觉得是后面大伙行程比较不)|一天(锦鲤步行前往武侯祠。 然后我自己就在最后一天去了峨眉山。不够时间逛完金顶是非常遗憾的)|一天(非常遗憾的事。一般看完峨嵋山要两天时间。一天是绝对走不完的，就算上下都乘索道什么的也)|一天(索道什么的也不能。下次如果来四川建议先去一天游乐山大佛，然后下午再来峨眉山，晚上在山)|一天(，这些是峨嵋山的大景，再登完全山。如果是一天游就只能游半山，沿清音阁——生态猴区，再)|二天(。。其他地方的价格很坑爹啊。。。行程第十二天晚上的火车。行程第十三天回到家。ATTA)|三天(啊。。。行程第十二天晚上的火车。行程第十三天回到家。ATTACHMENT:一、新南门),day1(寨沟汽车、九寨沟旅店、各地旅店或车师傅。day1早上大约七点半到达广州火车站。乘坐早上八)|day2(带个护颈，途中要经常坐长途大巴，很辛苦。day2漫长的火车旅程终于在下午大概3.30pm)|day3(运站就在traffic inn 隔壁） day3到客运站早上8.30到九寨沟的班车，10)|day5(～～在九寨的客运站提前买好去黄龙的车票。day5游黄龙。其实呢，我觉得看完九寨沟的景色对)|day6(重镇，晚上逛逛这里的市墟别有一番风味  day6从松潘——映秀——日隆（四姑娘山）大约7)|day7(影响，而这里又都是山里人，生活穷困。  day7游四姑娘山。四姑娘山有3条沟，双桥沟人多)|第十二天(化。。。其他地方的价格很坑爹啊。。。行程第十二天晚上的火车。行程第十三天回到家。ATTA)|第十三天(坑爹啊。。。行程第十二天晚上的火车。行程第十三天回到家。ATTACHMENT:一、新南门)
1297568,九寨沟-黄龙-成都-都江堰-峨眉山-重庆9日游,http://www.mafengwo.cn/i/1297568.html,26日(把自己的出行忘掉，所以把2012年10月26日的出行整理了下来。请了9天的年假，原计划)|9天(12年10月26日的出行整理了下来。请了9天的年假，原计划是要去四姑娘山的，原计划是)|26日(则买了重庆-北京的机票。2012年10月26日晚上下班后直接到了天津机场，晚上23点多)|27日(北机场宾馆（机场步行约15分钟）。10月27日早晨来到了机场候机，原计划第一日游黄龙，)|一天(黄龙，当天晚上就返回到九寨，这样可以节省一天的时间，但是由于飞机晚点（如果有游客像这)|一天(。  提早做了功课，由于九寨沟是y字型，一天玩完有些困难，也看了网上关于躲在沟里逃票)|29日(视剧。  九寨到黄龙大概2个半小时车程。29日早晨7点，我坐上了去黄龙的车，有人说不去)|30日(松潘县汽车站对过，又让旅店的老板帮我定了30日早晨去成都的汽车票。   路上的风景比景)|30日(的这种韵味，所以还是推荐大家住松潘。  30日早上，我坐车到成都，要8个小时，沿途都是)|3天(平。我问了一下老板，去四姑娘山的话最少要3天的时间。我又想回重庆，又想去看熊猫，所以)|31日(地，门票58米。要从武侯祠倒2次公交车。31日，我终于见了我最想见的动物，超级开心。进)|1日(到流泪，爱吃辣的可不要错过啊。  11月1日，我清晨起来坐82路到新南门汽车站，有去)|3天(，到了景区一定要乘车，要不然你的爬个2-3天才能玩完。我时间比较仓促，匆匆登顶了。都)|一天(看到。6点之后就没有回成都的车了，所以玩一天的要提早下山。我大概晚上10点多才回去。)|1天(头询问有没有飘到武汉的游艇，我记得有飞艇1天就可以到武汉，还可以看一下三峡的风景，老)|3天(三峡的风景，老板说早就没有了，只剩下2-3天的游船了，我算了一下，时间不允许，行程又)|一日(如何去大足石刻，要一整天的时间，还要报个一日团去，想想还是放弃了。于是3号我早晨我坐)|九天(号改返程了，做轻轨去了重庆江北机场。整整九天的时间，我还没去四姑娘山，我还没吃乡村基)|一天( =||=回复ak47：可以的，就是提前一天买的，不过不知道现在行不行了~=||=谢),第二天(接到了天津机场，晚上23点多到重庆，买了第二天最早的航班到黄龙。为了安全起见，我住了最)|第一日(。10月27日早晨来到了机场候机，原计划第一日游黄龙，当天晚上就返回到九寨，这样可以节)|第二天(了准备工作，先提前去九寨沟买了门票，省的第二天一早排队，门票220米，车票90米，这时)|第一天(买了29号从九寨沟到黄龙的车票，45米。第一天的时间由于飞机晚点彻底浪费了，什么也没干)|第二天(e。  本来青山城和都江堰应该一起玩的，第二天我又想去峨眉山，所以把青城山舍弃了。从熊)
